src/node_monitor.pb.cc:0:  No copyright message found.  You should have a line: "Copyright [year] <Copyright Owner>"  [legal/copyright] [5]
src/node_monitor.pb.cc:4:  Include the directory when naming .h files  [build/include_subdir] [4]
src/node_monitor.pb.cc:8:  Found C system header after C++ system header. Should be: node_monitor.pb.h, c system, c++ system, other.  [build/include_order] [4]
src/node_monitor.pb.cc:9:  Found C system header after C++ system header. Should be: node_monitor.pb.h, c system, c++ system, other.  [build/include_order] [4]
src/node_monitor.pb.cc:10:  Found C system header after C++ system header. Should be: node_monitor.pb.h, c system, c++ system, other.  [build/include_order] [4]
src/node_monitor.pb.cc:11:  Found C system header after C++ system header. Should be: node_monitor.pb.h, c system, c++ system, other.  [build/include_order] [4]
src/node_monitor.pb.cc:12:  Found C system header after C++ system header. Should be: node_monitor.pb.h, c system, c++ system, other.  [build/include_order] [4]
src/node_monitor.pb.cc:13:  Found C system header after C++ system header. Should be: node_monitor.pb.h, c system, c++ system, other.  [build/include_order] [4]
src/node_monitor.pb.cc:14:  Found C system header after C++ system header. Should be: node_monitor.pb.h, c system, c++ system, other.  [build/include_order] [4]
src/node_monitor.pb.cc:15:  Found C system header after C++ system header. Should be: node_monitor.pb.h, c system, c++ system, other.  [build/include_order] [4]
src/node_monitor.pb.cc:17:  Found C system header after C++ system header. Should be: node_monitor.pb.h, c system, c++ system, other.  [build/include_order] [4]
src/node_monitor.pb.cc:18:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.cc:19:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.cc:22:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.cc:26:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.cc:34:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.cc:47:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.cc:48:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.cc:61:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.cc:62:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.cc:63:  Missing space after ,  [whitespace/comma] [3]
src/node_monitor.pb.cc:76:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.cc:77:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.cc:78:  Missing space after ,  [whitespace/comma] [3]
src/node_monitor.pb.cc:91:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.cc:92:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.cc:94:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.cc:95:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
